date,temp,sales
2018/1,7,362
2018/2,6.5,305
2018/3,9.1,383
2018/4,12.4,464
2018/5,19,752
2018/6,23.6,841
2018/7,28,1211
2018/8,29.6,1451
2018/9,25.1,864
2018/10,18.9,504
2018/11,13.5,351
2018/12,9.9,423
2019/1,5.1,346
2019/2,7,289
2019/3,8.1,329
2019/4,14.5,462
2019/5,18.5,672
2019/6,22.8,791
2019/7,27.3,1265
2019/8,27.5,1241
2019/9,25.1,767
2019/10,19.5,516
2019/11,14.9,393
2019/12,7.5,423
2020/1,4.8,339
2020/2,5.4,274
2020/3,8.8,385
2020/4,14.5,524
2020/5,19.6,671
2020/6,21.4,798
2020/7,26.4,1165
2020/8,29.1,1332
2020/9,26.2,849
2020/10,19.4,515
2020/11,12.7,326
2020/12,7.3,414
2021/1,5.5,363
2021/2,6.2,322
2021/3,12.1,438
2021/4,15.2,525
2021/5,19.8,761
2021/6,22.9,878
2021/7,27.3,1234
2021/8,29.2,1437
2021/9,25.2,794
2021/10,19.8,549
2021/11,13.5,370
2021/12,8.3,445
2022/1,6.3,396
2022/2,5.9,309
2022/3,10.4,447
2022/4,15,520
2022/5,20.3,803
2022/6,23.4,900
2022/7,26.8,1202
2022/8,27.7,1238
2022/9,23.2,748
2022/10,19.1,570
2022/11,14.2,419
2022/12,6.7,455
